artist_id,genre
0BiXefHcyIG3vtH1Yzbo2Y,soul
0BiXefHcyIG3vtH1Yzbo2Y,rap
0BiXefHcyIG3vtH1Yzbo2Y,hip hop
3NwVTaECP58CZdzeXMPYVc,francoton
75jNCko3SnEMI5gwGqrbb8,other
4bw2Am3p9ji3mYsXNXtQcd,latin
4bw2Am3p9ji3mYsXNXtQcd,reggaeton
4bw2Am3p9ji3mYsXNXtQcd,pop
4NUePmzDvCYqilXBFa91Hg,pagode
4wLXwxDeWQ8mtUIRPxGiD6,latin
4wLXwxDeWQ8mtUIRPxGiD6,tropical
4wLXwxDeWQ8mtUIRPxGiD6,salsa
4wLXwxDeWQ8mtUIRPxGiD6,pop
44XzG6GoJZNtkIGW19hsUK,pop
44XzG6GoJZNtkIGW19hsUK,hip hop
67xyhWIvYQK5qr6b0gElst,other
67xyhWIvYQK5qr6b0gElst,pop
0jWCX6zp4RjWrmZRxJ2uri,j-rock
0jWCX6zp4RjWrmZRxJ2uri,j-pop
3oSJ7TBVCWMDMiYjXNiCKE,country
6cBdXnLZZ80RDHOvNPVUcY,gospel
4KWTAlx2RvbpseOGMEmROg,rock
4KWTAlx2RvbpseOGMEmROg,pop rock
4KWTAlx2RvbpseOGMEmROg,new wave
1Mo0pnWRAKd2oEH1IC6IgH,hip hop
7cTXfwpe9peK0UE1bZyIWZ,cartoon
7cTXfwpe9peK0UE1bZyIWZ,children's music
7cTXfwpe9peK0UE1bZyIWZ,other
4LuLF5H9fe5ViyDQb9Zxmt,rap
4LuLF5H9fe5ViyDQb9Zxmt,pop
4LuLF5H9fe5ViyDQb9Zxmt,hip hop
5g3TY29rk8El8lvejImgso,hip hop
00me4Ke1LsvMxt5kydlMyU,latin
00me4Ke1LsvMxt5kydlMyU,tropical
00me4Ke1LsvMxt5kydlMyU,reggaeton
00me4Ke1LsvMxt5kydlMyU,hip hop
7DMveApC7UnC2NPfPvlHSU,electro
7DMveApC7UnC2NPfPvlHSU,electro house
7DMveApC7UnC2NPfPvlHSU,pop rap
7DMveApC7UnC2NPfPvlHSU,tropical house
7DMveApC7UnC2NPfPvlHSU,pop
7DMveApC7UnC2NPfPvlHSU,dance pop
7DMveApC7UnC2NPfPvlHSU,electropop
2KsP6tYLJlTBvSUxnwlVWa,pop
2KsP6tYLJlTBvSUxnwlVWa,dance pop
2KsP6tYLJlTBvSUxnwlVWa,pop rap
4dSQICBjdUIp5iK6RRU2bY,other
38WbKH6oKAZskBhqDFA8Uj,j-pop
1Gm0kKaDx4GH6pQF88rjSK,grime
1Gm0kKaDx4GH6pQF88rjSK,hip hop
0QcZD8V0Ug1KINWBSyG0dB,rap
0QcZD8V0Ug1KINWBSyG0dB,pop
0QcZD8V0Ug1KINWBSyG0dB,hip hop
6Ur6METz02CC9zcJWDFicC,other
6Ur6METz02CC9zcJWDFicC,tropical house
6Ur6METz02CC9zcJWDFicC,hip hop
6Ur6METz02CC9zcJWDFicC,house
6Ur6METz02CC9zcJWDFicC,pop
1osZFzamKEXNoYk7HzWbDe,pop
6whFEcaV75AmQMiwlfaxvc,anime
6whFEcaV75AmQMiwlfaxvc,j-pop
6whFEcaV75AmQMiwlfaxvc,j-rock
3ekwV8Mt8DgZvmuK2futxG,folk
07FfkbljNIdl45Ijlh1aXS,folk
3X2M3VS0P1ahTp2305HK1N,hip hop
5fNuYnFYyzsrVRtDcKPnxb,j-rap
5fNuYnFYyzsrVRtDcKPnxb,r&b
0FnDCrmcQT8qz5TEsZIYw5,j-rap
0FnDCrmcQT8qz5TEsZIYw5,r&b
5zctI4wO9XSKS8XwcnqEHk,rap
5zctI4wO9XSKS8XwcnqEHk,trap
3Y7RZ31TRPVadSFVy1o8os,r&b
3Y7RZ31TRPVadSFVy1o8os,pop
2UZMlIwnkgAEDBsw1Rejkn,roots rock
2UZMlIwnkgAEDBsw1Rejkn,folk rock
2UZMlIwnkgAEDBsw1Rejkn,other
2UZMlIwnkgAEDBsw1Rejkn,rock
2UZMlIwnkgAEDBsw1Rejkn,mellow gold
2UZMlIwnkgAEDBsw1Rejkn,pop rock
2UZMlIwnkgAEDBsw1Rejkn,classic rock
2UZMlIwnkgAEDBsw1Rejkn,country rock
14T8NkbwXVZgbOvwnuGV89,j-pop
2Q570lQPWiuP2dCOP69jO3,hip hop
