song_id,artist_id
2SJAhpAZZLKYIWWu7S2idS,2N19kPGlqKY8GiyE4DkAtp
05Z7jet4VDNVgNQWcYHnrk,7bXgB6jMjp9ATFy66eO08Z
05Z7jet4VDNVgNQWcYHnrk,23zg3TcAtWQy7J6upgbUnj
05Z7jet4VDNVgNQWcYHnrk,13y7CgLHjMVRMDqxdx0Xdo
1JlETkRf6C4G8GBQMvcWQH,3CJKkU0XuElRT1z8rEtIYg
5rd1IgSMbApoXsVY9aorCV,4RVnAU35WRWra6OZ3CbbMA
5xey3cl8y5fWst3EKgPFk8,0DdDnziut7wOo6cAYWVZC5
5xey3cl8y5fWst3EKgPFk8,6RHKEd9dpzQ4c09x8Zdaxu
2JvzF1RMd7lE3KmFlsyZD8,6l3HvQ5sa6mXTsMTB19rO5
2urNDG0UgnGIYw50nVL0fs,3DCWeG2J1fZeu0Oe6i5Q6m
76ZrqdtkKxhMl42xAQTnFm,4xRYI6VqpkE3UwrDrAZL8L
76ZrqdtkKxhMl42xAQTnFm,1v3r802Az10JtIzSPawWzw
1Szfm2XAx3Kgl55dyl8sTU,5f7VJjfbwm532GiveGC0ZK
1Szfm2XAx3Kgl55dyl8sTU,20sxb77xiYeusSH8cVdatc
6CfGQzfXt10xyTt6QYKueh,2tcoLkA9Hexz70Kuc1NTUl
6CfGQzfXt10xyTt6QYKueh,6Te49r3A6f5BiIgBRxH7FH
1HDv4ptf1kBNMzqmlL3JcI,2UwqpfQtNuhBwviIC0f2ie
1oWXu2IFAtyiWroX3vlgaY,2OTfhbxhBO1u1bAuCy6ouu
2MRa7smgGyELfGEpmw1ILu,1yIifIA91WgmfzBcjbQB8i
2MRa7smgGyELfGEpmw1ILu,6gto7HVNhu4ARE3P3g8Y5Y
2MRa7smgGyELfGEpmw1ILu,2JwyRtuXf2l6sTnSnGVIa1
5UfqW3E0rt8umTM91HeHU7,3GBBxBdoolb0B5YizZq9bF
3AzgkY49sI8s6lNoFmHkmG,0MZ55DwuMQ1B2TXq9lcrE4
5ylAeKR1Uj1QbqlrmgtGtt,0pOruKWwgyqSLZhn4Xovs9
7L8hkKW4hnemNfuOfEZcle,3Nrfpe0tUJi4K4DXYWgMUX
0rFQ5cKYJ9WtHSKp9sxVYt,5fMUXHkw8R8eOP2RNVYEZX
0rFQ5cKYJ9WtHSKp9sxVYt,4oUHIQIBe0LHzYfvXNW4QM
68KdPBSXRHwBKUGWbQn1zL,5j21TGkrNEAJe3gG9VlS34
2eSnW4d3A4SyEVhVPmBffa,7FNnA9vBm6EKceENgCGRMb
2eSnW4d3A4SyEVhVPmBffa,4obzFoKoKRHIphyHzJ35G3
3jd8nno96vzqVhBtNfjahA,0GOx72r5AAEKRGQFn3xqXK
3jd8nno96vzqVhBtNfjahA,55Aa2cqylxrFIXC767Z865
2G60ShHRZZhqxSKbZTWdOh,0QHgL1lAIqAw0HtD7YldmP
2G60ShHRZZhqxSKbZTWdOh,1RyvyyTE3xzB2ZywiAwp0i
2G60ShHRZZhqxSKbZTWdOh,0hCNtLu0JehylgoiP8L4Gh
1XOFJ0SlG6Ky8ClUrNR7yI,2kXKa3aAFngGz2P4GjG5w2
0peJAyrJ03wHnagMFlpgun,5Vo1hnCRmCM6M4thZCInCj
2ScbGzrUTiywyaUS1MRUTJ,1aS5tqEs9ci5P9KD9tZWa6
2ScbGzrUTiywyaUS1MRUTJ,0Dvx6p8JDyzeOPGmaCIH1L
2ScbGzrUTiywyaUS1MRUTJ,4lDiJcOJ2GLCK6p9q5BgfK
6hIPt7rLVYweh6PGYx27jJ,2NJWI8byqTSqDaJRnqJY2z
5z0q9WOo824TY9JeyFKEKz,5oWFxbBrbk2Mw86PLUg3OZ
5z0q9WOo824TY9JeyFKEKz,5eioJDe26lOqkAMbuhzZYs
1HOUzEsetdIPSpAgRPhZQt,2iojnBLj0qIMiKPvVhLnsH
0hGH0S74Eoyv6mXZcOKtdQ,246dkjvS1zLTtiykXe5h60
0hGH0S74Eoyv6mXZcOKtdQ,20sxb77xiYeusSH8cVdatc
0hGH0S74Eoyv6mXZcOKtdQ,5f7VJjfbwm532GiveGC0ZK
5gegBG8esqlmKnRmJnZxps,5AAzeysphag0NxJxLbbVla
5gegBG8esqlmKnRmJnZxps,1eTRyiHsWMoWKPD6s4Kiqt
4xHkRNzzHtj3O3Z1pjYWRC,4ZfTpxwHwtot9Ps59bXAF8
4xHkRNzzHtj3O3Z1pjYWRC,4iWkwAVzssjb8XgxdoOL6M
0GVuLQtPXFaL18ijEOqoAa,2LAqcqAQ8KPTsl1HBgBrqM
2uJ2C2eQY1EwHWxhCffSlx,1qma7XhwZotCAucL7NHVLY
206RguRdgqOWe91Fo2uF7a,2kXKa3aAFngGz2P4GjG5w2
4jT1jt9doFkHioj1Gr9qZ7,3nDNDLcZuSto4k9u4AbcLB
4jT1jt9doFkHioj1Gr9qZ7,6UDhlW8uEVBBrqHS3RrKuv
1spZPzBLYeVTvd0iDWXgC2,2wUjUUtkb5lvLKcGKsKqsR
1j6xOGusnyXq3l6IryKF3G,4bw2Am3p9ji3mYsXNXtQcd
1j6xOGusnyXq3l6IryKF3G,0tmwSHipWxN12fsoLcFU3B
64ydkbrt0xhdJXRaam06Mc,53KwLdlmrlCelAZMaLVZqU
64ydkbrt0xhdJXRaam06Mc,0Y5tJX1MQlPlqiwlOH1tJY
64ydkbrt0xhdJXRaam06Mc,0iEtIxbK0KxaSlF7G42ZOp
1RI9DeYuc16mTzr94zGjfC,1luOe8HkZQ7zwuaO2wuJqI
3e9HZxeyfWwjeyPAMmWSSQ,66CXWjxzNUsdJxJ2JdwvnR
7bg469g8qRoMwFQf6Vleh3,6dbdXbyAWk2qx8Qttw0knR
21kOVEG3bDCVphKhXL8XmQ,1iJdyDcY98X3GMnUesl7tf
1rCcsYnmqbMYdkG7kS9GC5,3t5xRXzsuZmMDkQzgOX35S
1rCcsYnmqbMYdkG7kS9GC5,1OHw2r7Diz2rc9JktaFV6N
1n36knZX4bQ6FvcNEISVe9,1AL2GKpmRrKXkYIcASuRFa
1n36knZX4bQ6FvcNEISVe9,6LjdKBMnP1Da8Oe6WhrN56
1n36knZX4bQ6FvcNEISVe9,1mXAhKnZEdF6rotyyd4GBi
1WqLtczgKdbHFHhefOU0y7,6LuN9FCkKOj5PcnpouEgny
3k8WwrnjwieiiO39zYYXfC,68LM3gnzfl4W5fkfLIxbQJ
0VNlBq4JKqvlIlveSwC4WJ,3GBBxBdoolb0B5YizZq9bF
3pWcj8hxj3fsb9TDAcMpEl,69GGBxA162lTqCwzJG5jLp
3pWcj8hxj3fsb9TDAcMpEl,76yeOnINtQSXyoEHbkYmtY
7C39RtGhnEw7cyf0Pyw7PV,246dkjvS1zLTtiykXe5h60
6f8b6mxNNDJdE5tC4MCTxt,0LyOADBjj28cbvJWTXUEGA
3jm3D6ZqmLKiIDDWAIkmPl,491U1PrV1EoQuhM0aUCn9r
51lPx6ZCSalL2kvSrDUyJc,0hEurMDQu99nJRq8pTxO14
7DW5Dro8AHE7x19COl26E3,5kVZa4lFUmAQlBogl1fkd6
5R1Tv8SO02AEUhpNCSK3TO,4VuARVJiWGsH2msKTdsKdQ
5R1Tv8SO02AEUhpNCSK3TO,0GgY7hjMoGDsX8ZDe2mwds
5Cpjk7dVlNZJhK9NMljgkv,5mmEMfYChd6MImBagU7zCs
22AfHqgMer38xMT3s1j861,5vBSrE1xujD2FXYRarbAXc
3GjzjFgrnG0D2oWCSBSC2v,5TS11vZTUaDP4maTjFCcBU
0U2UnMjB2QKWDh7E6ZPNeG,54kCbQZaZWHnwwj9VP2hn4
1VuAamHM7P3VQQEXYGG3Uu,7v4imS0moSyGdXyLgVTIV7
4gDvg62vG96w0qJaF6wzcd,3k68C6mNMJL6OaAdWeW2ZF
4gDvg62vG96w0qJaF6wzcd,487N2T9nIPEHrlTZLL3SQs
56ISW3rNZJHEkUfVbZ61bq,5kjGRHClVacSyllOUqU1S0
6o79O9qBP3OAkWOXajAQIS,7gZfnEnfiaHzxARJ2LeXrf
6o79O9qBP3OAkWOXajAQIS,31W5EY0aAly4Qieq6OFu6I
3gWIsIhg966ojnMbgumkW9,7MiDcPa6UiV3In7lIM71IN
1foCxQtxBweJtZmdxhEHVO,1AwO9pWEBSBoWdEZu28XDC
1foCxQtxBweJtZmdxhEHVO,52G7KZspBD4cCmuRDYRAtx
3CUMIkvvarUDjD5bVIWKl8,0hCWVMGGQnRVfDgmhwLIxq
4p9aWfBThbAeVuqhzFnBxl,7cpCnhhBIU1gA7EhTFApN1
0EyxB6uQOUC4ex2tbJuu6m,0qzIE6qGhz0erJe0Fy8RHt
6PRh0ilIMEP1xlUHqalnkD,6Ha4aES39QiVjR0L2lwuwq
6PRh0ilIMEP1xlUHqalnkD,5f7VJjfbwm532GiveGC0ZK
7K72dcZf3FX0h01PTKTFut,7JthQ6zwNzfxRfIEjp6wUs
0OG1CWjb4Y00fETLDSquVt,6VjbeCqoayiHYnefrisskv
0OG1CWjb4Y00fETLDSquVt,1LRpAVWq5z6VZMG3tTdZKU
1xy4apMFecGGkgBeaHFZ2M,5JZ7CnR6gTvEMKX4g70Amv
75UFzgBCaVwJJ4IVIaatpe,2UwqpfQtNuhBwviIC0f2ie
2oT2g4vkjRaFOcUtdOf9eg,5gs4Sm2WQUkcGeikMcVHbh
2oT2g4vkjRaFOcUtdOf9eg,2UwqpfQtNuhBwviIC0f2ie
6poj56vC9JUu1yHTsv92WA,7MiDcPa6UiV3In7lIM71IN
6poj56vC9JUu1yHTsv92WA,2cy1zPcrFcXAJTP0APWewL
7ckGvAoSg8oq85I8owLVSZ,1aS5tqEs9ci5P9KD9tZWa6
7ckGvAoSg8oq85I8owLVSZ,0Dvx6p8JDyzeOPGmaCIH1L
7xrS0MTajQF2ZnGHD6cj8o,63X1WKthLQidtqxxO2sgeq
7xrS0MTajQF2ZnGHD6cj8o,48Zl8yw6YhIsymNwvNMlnM
5ljnqaI6x5IaYxKQ86eo6B,2s7fZ34RK8RUJQ2ewsh6I5
0bXFIF7iL17TYLyx8JHziM,46SHBwWsqBkxI7EeeBEQG7
2bwN9oZIn9XXSd8RlJ4FDM,21WS9wngs9AqFckK7yYJPM
2bwN9oZIn9XXSd8RlJ4FDM,31W5EY0aAly4Qieq6OFu6I
5x3WKgUq6iCBEgOZ7htfMB,2ptKt4yP4mYRZmvi09JYyi
6tgzMDY2f0Qo6sYel0Mil3,4Q6nIcaBED8qUel8bBx6Cr
6tgzMDY2f0Qo6sYel0Mil3,5vBSrE1xujD2FXYRarbAXc
0KzUyonAz3qE6UE9tDL4tV,1yIifIA91WgmfzBcjbQB8i
0KzUyonAz3qE6UE9tDL4tV,1a71mkqZC54WhePSbnq7RK
2wpHrEs8EYljXF4BOpBfZ5,3c96G4d2lUOxhomM2mby5S
0baYVkFX4vIXXmIuHRWXDN,4MCBfE4596Uoi2O4DtmEMz
0c7K73roy6RW4ebDkf4yGh,6fWVd57NKTalqvmjRd2t8Z
6TFzT4oCM5vamJWRI4sWlu,5kVZa4lFUmAQlBogl1fkd6
08hm0V6cTsWDX62hW42sEv,69GGBxA162lTqCwzJG5jLp
