artist_1,artist_2,count,song_id
Maroon 5,SZA,2,4mxWSdf71VFO52qFeY0fZt
Maroon 5,SZA,2,3hBBKuWJfxlIlnd9QFoC8k
Nicki Minaj,Yo Gotti,2,6c7D34787LOtPm8tzhsLgH
Nicki Minaj,Yo Gotti,2,4knL4iPxPOZjQzTUlELGSY
Metro Boomin,Offset,2,7sO5G9EABYOXQKNPNiE9NR
Metro Boomin,Offset,2,5u6vkDnOyaf8LsteDAj2ub
Ariana Grande,Calvin Harris,2,60APt5N2NRaKWf5xzJdzyC
Ariana Grande,Calvin Harris,2,1N90cV79gbBgO0bOs74Y0t
Ariana Grande,Pharrell Williams,2,60APt5N2NRaKWf5xzJdzyC
Ariana Grande,Pharrell Williams,2,1N90cV79gbBgO0bOs74Y0t
Ariana Grande,Young Thug,2,60APt5N2NRaKWf5xzJdzyC
Ariana Grande,Young Thug,2,1N90cV79gbBgO0bOs74Y0t
Calvin Harris,Young Thug,2,60APt5N2NRaKWf5xzJdzyC
Calvin Harris,Young Thug,2,1N90cV79gbBgO0bOs74Y0t
Pharrell Williams,Young Thug,2,60APt5N2NRaKWf5xzJdzyC
Pharrell Williams,Young Thug,2,1N90cV79gbBgO0bOs74Y0t
Macklemore,Skylar Grey,2,3HVr6jTVwBHBa2flM0eURR
Macklemore,Skylar Grey,2,0CokSRCu5hZgPxcZBaEzVE
Miguel,Travis Scott,2,5WoaF1B5XIEnWfmb5NZikf
Miguel,Travis Scott,2,1DRW9bQzt2SE8f7H4KJZyL
Lil Wayne,The-Dream,2,0rlFL6bxIWcCn9gk9GExFA
Lil Wayne,The-Dream,2,270aLuFCbX32hhBr8MQyPM
The-Dream,Ty Dolla $ign,2,0rlFL6bxIWcCn9gk9GExFA
The-Dream,Ty Dolla $ign,2,270aLuFCbX32hhBr8MQyPM
Jonas Blue,William Singe,2,0NiXXAI876aGImAd6rTj8w
Jonas Blue,William Singe,2,4xlrALxuaCf9yZBHJeTSG6
Future,Kendrick Lamar,2,6DB2KOEwHnjkgEnBt5SdeJ
Future,Kendrick Lamar,2,6dVZCbi9CYtD9LjAHXRjIG
Lil Yachty,Macklemore,2,7bsnTsbiwOymZWjPF9v6Di
Lil Yachty,Macklemore,2,0RYXEibxMami3QuT8kn4Iz
Fifth Harmony,Gucci Mane,2,20H2Hd5AkUcRjB4yL3UQtJ
Fifth Harmony,Gucci Mane,2,7LEydI5NfjY6mZfKwYIptZ
Gucci Mane,The Weeknd,2,1tp1xMJ1uaOktksskS0Fzs
Gucci Mane,The Weeknd,2,2yuyaYAELoMG4ApV5wJsWR
Beyoncé,Eminem,2,5b2QnYcT9rQIkhRWt4HztQ
Beyoncé,Eminem,2,5PIBgH1cUFwu5IiUk9tnN9
A$AP Rocky,"Tyler, The Creator",2,1a0wEEHipnBR7WOHFA6ucQ
A$AP Rocky,"Tyler, The Creator",2,21yRtB6B8EMounImAfHRCP
Calvin Harris,Future,2,3FDrI0FLKzrYQiWxPhqV2W
Calvin Harris,Future,2,0lMbuWUpfTWhEmOKxppEau
Calvin Harris,Khalid,2,3FDrI0FLKzrYQiWxPhqV2W
Calvin Harris,Khalid,2,0lMbuWUpfTWhEmOKxppEau
Future,Khalid,2,3FDrI0FLKzrYQiWxPhqV2W
Future,Khalid,2,0lMbuWUpfTWhEmOKxppEau
Katy Perry,Migos,2,61WbtB6ujkpNAsAf5LjF4b
Katy Perry,Migos,2,14oOKFGuXu8DqvOe1W8vao
Grey,Hailee Steinfeld,2,6875MeXyCW0wLyT72Eetmo
Grey,Hailee Steinfeld,2,1qOLh0tI7trd1zdDKxYZTe
Grey,Zedd,2,6875MeXyCW0wLyT72Eetmo
Grey,Zedd,2,1qOLh0tI7trd1zdDKxYZTe
Hailee Steinfeld,Zedd,2,6875MeXyCW0wLyT72Eetmo
Hailee Steinfeld,Zedd,2,1qOLh0tI7trd1zdDKxYZTe
Flume,Tove Lo,2,3sBfXJVKKUWyKqEUsrYiNO
Flume,Tove Lo,2,4sQMalN597HdggTu196aL0
Calvin Harris,Frank Ocean,2,6gpcs5eMhJwax4mIfKDYQk
Calvin Harris,Frank Ocean,2,7tr2za8SQg2CI8EDgrdtNl
Calvin Harris,Migos,2,6gpcs5eMhJwax4mIfKDYQk
Calvin Harris,Migos,2,7tr2za8SQg2CI8EDgrdtNl
Frank Ocean,Migos,2,6gpcs5eMhJwax4mIfKDYQk
Frank Ocean,Migos,2,7tr2za8SQg2CI8EDgrdtNl
N.E.R.D,Rihanna,2,6tUgfsOa8PLkoede5nOR7D
N.E.R.D,Rihanna,2,4PpuH4mxL0rD35mOWaLoKS
Drake,Rihanna,2,14WWzenpaEgQZlqPq2nk4v
Drake,Rihanna,2,11KJSRSgaDxqydKYiD2Jew
Drake,Giggs,2,2jTujnt0y344ai1rNOywgr
Drake,Giggs,2,6CfrYuD3YRDYdYvH9jNtXY
GRAACE,Hayden James,2,4bJzIbze97tZwCxxMw4hx9
GRAACE,Hayden James,2,1jJtDLctkzilPae8saJe37
French Montana,Swae Lee,2,3B54sVLJ402zGa6Xm4YGNe
French Montana,Swae Lee,2,1F2HXIJrE2Xn81OzT2zZvW
Lana Del Rey,The Weeknd,2,5LYQSNHZxEA880URXFHg6h
Lana Del Rey,The Weeknd,2,4L7Y2OAPiY2I2GndZjAs5K
Halsey,Lauren Jauregui,2,11EDhDAVDtGPoSar6ootYA
Halsey,Lauren Jauregui,2,4C5ewaZ05vyXM23jFJdwd4
Lil Uzi Vert,Oh Wonder,2,2eAZfqOm4EnOF9VvN50Tyc
Lil Uzi Vert,Oh Wonder,2,6GNifiuBPrKFpwNBYnooFm
21 Savage,Post Malone,2,1OmcAT5Y8eg5bUPv9qJT4R
21 Savage,Post Malone,2,7wGoVu4Dady5GV0Sv4UIsx
Alesso,Florida Georgia Line,2,5AEtlRudpgdT5FtNiuly6Y
Alesso,Florida Georgia Line,2,5Gu0PDLN4YJeW75PpBSg9p
Alesso,Hailee Steinfeld,2,5AEtlRudpgdT5FtNiuly6Y
Alesso,Hailee Steinfeld,2,5Gu0PDLN4YJeW75PpBSg9p
Alesso,watt,2,5AEtlRudpgdT5FtNiuly6Y
Alesso,watt,2,5Gu0PDLN4YJeW75PpBSg9p
Florida Georgia Line,Hailee Steinfeld,2,5AEtlRudpgdT5FtNiuly6Y
Florida Georgia Line,Hailee Steinfeld,2,5Gu0PDLN4YJeW75PpBSg9p
Florida Georgia Line,watt,2,5AEtlRudpgdT5FtNiuly6Y
Florida Georgia Line,watt,2,5Gu0PDLN4YJeW75PpBSg9p
